0;30;3                                                                                                                                                
0;4;0;3;2;1
1;4;0;1;2;3
2;2;0;3;4;1
3;0;4;3;1;2
4;0;4;3;1;2
5;0;3;4;1;2
6;2;0;4;3;1
7;1;2;4;0;3
8;4;0;1;2;3
9;0;4;3;1;2
10;0;4;3;1;2
11;0;4;3;1;2
12;1;2;4;0;3
13;1;2;4;0;3
14;0;3;4;1;2
15;3;0;4;1;2
16;3;0;4;1;2
17;4;0;3;2;1
18;4;0;3;2;1
19;3;1;4;0;2
20;4;0;3;1;2
21;4;0;3;1;2
22;4;0;3;1;2
23;4;0;3;2;1
24;3;0;4;1;2
25;3;0;4;1;2
26;2;0;3;4;1
27;4;0;1;2;3
28;4;0;3;2;1
29;4;0;3;2;1
30;4;0;3;2;1
31;4;0;3;2;1
32;4;0;3;2;1
33;4;0;3;2;1
